id,ent_id,name,sex,birthday,national_code,native_place_code,work_date,phone,education,type_code,seq,status
1,1,张策,M,1984-10-15,02,浙江嘉兴,2005-04-05,,3,4,1,Y
2,1,苏德,M,1990-03-08,01,浙江杭州,2011-02-06,,3,4,2,Y
3,1,李燕,F,1985-07-08,01,浙江嘉兴,2004-04-19,,3,1,3,Y
4,1,王南,M,1989-10-15,02,浙江杭州,2011-07-06,,2,3,4,Y
5,1,赵可,F,1982-10-15,01,浙江嘉兴,2000-06-17,,3,1,5,Y
6,1,易云,M,1990-03-08,01,浙江嘉兴,2011-07-06,,2,2,6,N
7,1,蔡雨,M,1984-10-15,03,浙江嘉兴,2004-08-06,,4,1,7,Y
8,1,高科,M,1964-10-15,01,浙江嘉兴,1984-01-02,,6,1,8,Y
9,1,钱文,F,1974-10-15,02,浙江杭州,1994-07-16,,2,5,9,Y
10,1,周涛,M,1972-10-09,01,浙江嘉兴,1994-09-06,,1,1,10,Y
11,2,周月,M,1985-10-15,02,浙江嘉兴,2006-04-10,,3,4,1,N
12,2,王和,M,1991-03-08,01,浙江杭州,2011-11-06,,3,4,2,Y
13,2,董菲,F,1986-07-08,04,浙江嘉兴,2004-07-10,,3,1,3,Y
14,2,李金宇,M,1978-10-15,02,浙江杭州,2011-05-02,,2,3,4,Y
15,2,李筝,F,1971-10-15,01,浙江嘉兴,2000-03-06,,3,1,5,Y
16,2,付军,M,1991-03-08,03,浙江嘉兴,2011-06-10,,2,2,6,Y
17,2,孙雪龙,M,1985-10-15,01,浙江嘉兴,2004-04-09,,4,1,7,Y
18,2,郑国楠,M,1955-10-15,01,浙江嘉兴,1984-07-08,,6,1,8,Y
19,2,陈雪,F,1975-10-15,02,浙江杭州,1994-09-06,,2,5,9,Y
20,2,毕辰飞,M,1973-10-09,01,浙江嘉兴,1994-07-04,,1,1,10,Y
21,3,赵光明,M,1983-10-15,02,浙江嘉兴,2003-12-05,,3,4,1,Y
22,3,钱程,M,1992-03-08,01,浙江杭州,2011-07-11,,3,4,2,N
23,3,孙雅,F,1984-07-08,02,浙江嘉兴,2004-12-08,,3,1,3,Y
24,3,李晓风,M,1978-10-15,02,浙江杭州,2011-07-28,,2,3,4,Y
25,3,周钥,F,1971-10-15,01,浙江嘉兴,2000-11-24,,3,1,5,Y
26,3,吴昊,M,1989-03-08,01,浙江嘉兴,2011-07-26,,2,2,6,Y
27,3,郑建国,M,1982-10-15,04,浙江嘉兴,2004-07-07,,4,1,7,Y
28,3,王闯,M,1954-10-15,01,浙江嘉兴,1984-10-02,,5,1,8,N
29,3,张涛,F,1977-10-15,02,浙江杭州,1994-07-02,,2,4,9,Y
30,3,陈可,M,1973-10-09,01,浙江嘉兴,1994-10-06,,3,1,10,Y
31,4,吴迪,M,1988-10-15,02,浙江嘉兴,2011-04-05,,1,4,1,Y
32,4,蒋涛,M,1990-03-08,01,浙江杭州,2011-07-03,,3,4,2,Y
33,4,周盼,F,1982-07-08,01,浙江嘉兴,2004-05-09,,3,1,3,Y
34,4,海迪,M,1977-10-15,02,浙江杭州,2011-07-01,,2,3,4,Y
35,4,赵华玉,F,1974-10-15,01,浙江嘉兴,2000-06-08,,3,1,5,Y
36,4,姚杰,M,1990-03-08,01,浙江嘉兴,2011-07-10,,2,2,6,N
37,4,孙博,M,1987-10-15,01,浙江嘉兴,2004-08-06,,4,1,7,Y
38,4,高嵩,M,1954-10-15,01,浙江嘉兴,1984-07-11,,5,1,8,Y
39,4,李海霞,F,1976-10-15,02,浙江杭州,1994-08-12,,2,2,9,Y
40,4,李振,M,1973-10-09,01,浙江嘉兴,1994-07-18,,1,1,10,Y
41,5,吴越,M,1988-10-15,02,浙江嘉兴,2006-04-17,,1,4,1,Y
42,5,伍声,M,1990-03-08,01,浙江杭州,2011-02-25,,3,4,2,Y
43,5,冷雨萱,F,1982-07-08,01,浙江嘉兴,2004-07-21,,3,1,3,Y
44,5,沈佳麒,M,1978-10-15,02,浙江杭州,2011-01-23,,2,3,4,Y
45,5,刘诗慧,F,1976-10-15,01,浙江嘉兴,2000-07-24,,3,1,5,Y
46,5,邹倚天,M,1990-03-08,01,浙江嘉兴,2011-01-15,,2,2,6,Y
47,5,李小龙,M,1981-10-15,01,浙江嘉兴,2004-07-14,,4,1,7,Y
48,5,张鹏,M,1956-10-15,01,浙江嘉兴,1984-02-16,,5,1,8,Y
49,5,刘欣,F,1979-10-15,02,浙江杭州,1994-07-26,,2,4,9,N
50,5,王蔓,F,1975-10-09,01,浙江嘉兴,1994-09-13,,1,1,10,N
